Operation;Result
x in s;True if an item of s is equal to x, else False
x not in s;False if an item of s is equal to x, else True
s + t;the concatenation of s and t
s * n, n * s;equivalent to adding s to itself n times
s.index(x);index of the first occurrence of x in s
s.count(x);total number of occurrences of x in s
s[i];i.th item of s, origin 0
s[i:j];slice of s from i to j
s[i:j:k];slice of s from i to j with step k
len(s);length of s
min(s);smallest item of s
max(s);largest item of s
